id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue,,,
2;1;Walmart;2300000;1;485873;0.8%;13,643.0 ;-7.2%;198,825;218619,
3;2;Berkshire Hathaway;3677;4;223604;6.1%;24,074.0 ;0.0%;620,854;411035,
4;3;Apple;116;3;215639;-7.7%;45,687.0 ;-14.4%;321,686;753718,
5;4;Exxon Mobil;727;2;205004;-16.7%;7,840.0 ;-51.5%;330,314;340056,
6;5;McKesson;68;5;192487;6.2%;2,258.0 ;53.0%;56,563;31439,
7;6;UnitedHealth Group;230;6;184840;17.7%;7,017.0 ;20.7%;122,810;157793,
8;7;CVS Health;204;7;177526;15.8%;5,317.0 ;1.5%;94,462;81310,
9;8;General Motors;225;8;166380;9.2%;9,427.0 ;-2.7%;221,690;52968,
10;9;AT&T;26854;10;163786;11.6%;12,976.0 ;-2.8%;403,821;255679,
11;10;Ford Motor;201;9;151800;1.5%;4,596.0 ;-37.7%;237,951;46349,
12;11;AmerisourceBergen;185;12;146850;8.0%;1,427.9 ;0;33,656;19229,
13;12;Amazon.com;3414;18;135987;27.1%;2,371.0 ;297.8%;83,402;423031,
14;13;General Electric;295;11;126661;-9.8%;8,831.0 ;0;365,183;259520,
15;14;Verizon;1609;13;125980;-4.3%;13,127.0 ;-26.6%;244,180;198900,
16;15;Cardinal Health;373;21;121546;18.5%;1,427.0 ;17.4%;34,122;25725,
17;16;Costco;172;15;118719;2.2%;2,350.0 ;-1.1%;33,163;73606,
18;17;Walgreens Boots Alliance;300;19;117351;13.4%;4,173.0 ;-1.1%;72,688;89645,
19;18;Kroger;443;17;115337;5.0%;1,975.0 ;-3.1%;36,505;26961,
20;19;Chevron;552;14;107567;-18.0%;-497.0 ;-110.8%;260,078;203263,,
21;20;Fannie Mae;7;16;107162;-2.9%;12,313.0 ;12.4%;3,287,968;3011
22;21;J.P. Morgan Chase;243355;23;105486;4.4%;24,733.0 ;1.2%;2,490,972;313761
23;22;Express Scripts Holding;256;22;100288;-1.4%;3,404.4 ;37.5%;51,745;39567,
24;23;Home Depot;406;28;94595;6.9%;7,957.0 ;13.5%;42,966;176368,
25;24;Boeing;15054;24;94571;-1.6%;4,895.0 ;-5.4%;89,997;107546,
26;25;Wells Fargo;2691;27;94176;4.6%;21,938.0 ;-4.2%;1,930,115;278516
27;26;Bank of America Corp.;208024;26;93662;0.7%;17,906.0 ;12.7%;2,187,702;236182
28;27;Alphabet;72053;36;90272;20.4%;19,478.0 ;19.1%;167,497;579426,
29;28;Microsoft;114;25;85320;-8.8%;16,798.0 ;37.8%;193,694;508935,
30;29;Anthem;53;33;84863;7.2%;2,469.8 ;-3.5%;65,083;43813,
31;30;Citigroup;219;29;82386;-6.7%;14,912.0 ;-13.5%;1,792,077;165394
32;31;Comcast;159;37;80403;7.9%;8,695.0 ;6.5%;180,500;178258,
33;32;IBM;4144;31;79919;-3.1%;11,872.0 ;-10.0%;117,470;164251,
34;33;State Farm Insurance Cos.;68234;35;76132;0.6%;350.3 ;-94.4%;256,030;0,,
35;34;Phillips 66;148;30;72396;-16.9%;1,555.0 ;-63.2%;51,653;40954,
36;35;Johnson & Johnson;1264;39;71890;2.6%;16,540.0 ;7.3%;141,208;337642,
37;36;Procter & Gamble;105;34;71726;-8.9%;10,508.0 ;49.3%;127,136;229700,
38;37;Valero Energy;9996;32;70166;-14.2%;2,289.0 ;-42.6%;46,173;29746,
39;38;Target;323;38;69495;-5.8%;2,737.0 ;-18.6%;37,431;30502,
40;39;Freddie Mac;5982;43;65665;3.4%;7,815.0 ;22.6%;2,23,376;1612
41;40;Lowe;240;47;65017;10.1%;3,093.0 ;21.5%;34,408;70481,
42;41;Dell Technologies;138;;64806;18.1%;-1,672.0 ;0;118,206;0,
43;42;MetLife;58;40;63476;-9.3%;800.0 ;-84.9%;898,764;57429,,
44;43;Aetna;495;46;63155;4.7%;2,271.0 ;-5.0%;69,146;44859,
45;44;PepsiCo;264;44;62799;-0.4%;6,329.0 ;16.1%;74,129;159763,
46;45;Archer Daniels Midland;318;41;62346;-7.9%;1,279.0 ;-30.8%;39,769;26274,
47;46;UPS;33552;48;60906;4.4%;3,431.0 ;-29.2%;40,377;93276,
48;47;Intel;106;51;59387;7.3%;10,316.0 ;-9.7%;113,327;170539,
49;48;Prudential Financial;49739;50;58779;2.9%;4,368.0 ;-22.6%;783,962;45912,
50;49;Albertsons Cos.;274;;58734;115.9%;-502.2 ;0;23,770;0,,
51;50;United Technologies;2016;45;57244;-6.2%;5,055.0 ;-33.6%;89,706;89957,
52;51;Marathon Petroleum;4446;42;55858;-13.5%;1,174.0 ;-58.8%;44,413;26679,
53;52;Disney;195;53;55632;6.0%;9,391.0 ;12.0%;92,033;179298,
54;53;Humana;516;52;54379;0.2%;614.0 ;-51.9%;25,396;29743,,
55;54;Pfizer;965;55;52824;8.1%;7,215.0 ;3.7%;171,615;203725,
56;55;AIG;564;49;52367;-10.2%;-849.0 ;-138.7%;498,264;61154,,
57;56;Lockheed Martin;97;60;50658;9.8%;5,302.0 ;47.1%;47,806;77557,
58;57;Sysco;519;57;50367;3.5%;949.6 ;38.3%;16,722;28048,,
59;58;FedEx;335767;58;50365;6.1%;1,820.0 ;73.3%;46,064;52178,
60;59;Hewlett Packard Enterprise;195;;50123;-;3,161.0 ;0;79,679;39288,
61;60;Cisco Systems;737;54;49247;0.2%;10,739.0 ;19.6%;121,652;169266,
62;61;HP;49;20;48238;-53.3%;2,496.0 ;-45.2%;29,010;30231,
63;62;Dow Chemical;56;56;48158;-1.3%;4,318.0 ;-43.8%;79,511;77460,
64;63;HCA Holdings;2105;63;44747;2.7%;2,890.0 ;35.7%;33,758;32966,
65;64;Coca-Cola;1003;62;41863;-5.5%;6,527.0 ;-11.2%;87,270;182153,
66;65;New York Life Insurance;1132;61;40787;-11.1%;1,088.1 ;324.1%;287,196;0,
67;66;Centene;305;124;40721;78.6%;562.0 ;58.3%;20,197;12271,,
68;67;American Airlines Group;1223;67;40180;-2.0%;2,676.0 ;-64.8%;51,274;21326,
69;68;Nationwide;3432;69;40074;-0.4%;334.3 ;-42.4%;197,790;0,,
70;69;Merck;68;72;39807;0.8%;3,920.0 ;-11.8%;95,377;174454,
71;70;Cigna;41;79;39668;4.7%;1,867.0 ;-10.8%;59,360;37604,
72;71;Delta Air Lines;83756;68;39639;-2.6%;4,373.0 ;-3.4%;51,261;33586,
73;72;Best Buy;125;71;39403;-0.9%;1,228.0 ;36.9%;13,856;15193,
74;73;Honeywell International;131;75;39302;1.9%;4,809.0 ;0.9%;54,146;94991,
75;74;Caterpillar;954;59;38537;-18.0%;-67.0 ;-103.2%;74,704;54402,,
76;75;Liberty Mutual Insurance Group;50;73;38308;-2.9%;1,006.0 ;95.7%;125,592;0,
77;76;Morgan Stanley;55311;78;37949;0.1%;5,979.0 ;-2.4%;814,949;79947,
78;77;Massachusetts Mutual Life Insurance;11737;76;37788;-1.2%;1,273.5 ;-10.6%;271,040;0,
79;78;Goldman Sachs Group;344;74;37712;-3.8%;7,398.0 ;21.6%;860,165;91380,
80;79;Energy Transfer Equity;30992;65;37504;-11.0%;995.0 ;-16.3%;79,011;21292,,
81;80;TIAA;12997;82;37105;5.5%;1,492.3 ;22.9%;523,194;0,
82;81;Oracle;136;77;37047;-3.1%;8,901.0 ;-10.4%;112,180;183556,
83;82;Tyson Foods;114;66;36881;-10.9%;1,768.0 ;44.9%;22,373;22028,
84;83;United Continental Holdings;88;80;36556;-3.5%;2,263.0 ;-69.2%;40,140;22225,
85;84;Allstate;43275;81;36534;2.5%;1,877.0 ;-13.5%;108,610;29754,
86;85;Publix Super Markets;191;87;34274;5.1%;2,025.7 ;3.1%;17,464;0,
87;86;American Express;564;85;33823;-1.8%;5,408.0 ;4.7%;158,893;71193,
88;87;TJX;235;89;33184;7.2%;2,298.2 ;0.9%;12,884;51053,
89;88;Nike;707;91;32376;5.8%;3,760.0 ;14.9%;21,396;92204,
90;89;Exelon;34396;95;31360;6.5%;1,134.0 ;-50.0%;114,904;33309,
91;90;General Dynamics;988;88;31353;-0.4%;2,955.0 ;-0.3%;32,872;56791,
92;91;Rite Aid;7058;107;30737;15.9%;165.5 ;-92.2%;11,277;4473,,
93;92;Gilead Sciences;9;86;30390;-6.9%;13,501.0 ;-25.4%;56,977;88788,
94;93;CHS;12157;84;30347;-12.2%;424.2 ;-45.7%;17,318;0,,
95;94;3M;91584;93;30109;-0.5%;5,050.0 ;4.5%;32,906;114338,
96;95;Time Warner;25;99;29318;4.3%;3,926.0 ;2.4%;65,966;75660,
97;96;Charter Communications;915;292;29003;197.3%;3,522.0 ;0;149,067;100595,
98;97;Northwestern Mutual;5646;100;28799;2.4%;818.0 ;0.4%;250,441;0,,
99;98;Facebook;17048;157;27638;54.2%;10,217.0 ;177.0%;64,961;410522,
100;99;Travelers Cos.;309;105;27625;3.1%;3,014.0 ;-12.4%;100,245;33689,
101;100;Capital One Financial;473;112;27519;9.6%;3,751.0 ;-7.4%;357,033;41831,
102;101;Twenty-First Century Fox;215;96;27326;-5.7%;2,755.0 ;-66.8%;48,365;59949,
103;102;USAA;29943;114;27131;11.4%;1,779.1 ;-21.7%;147,290;0,
104;103;World Fuel Services;5;92;27016;-11.1%;126.5 ;-27.5%;5,413;2535,,
105;104;Philip Morris International;795;106;26685;-0.4%;6,967.0 ;1.4%;36,851;175349,
106;105;Deere;56767;97;26644;-7.7%;1,523.9 ;-21.4%;57,981;34648,
107;106;Kraft Heinz;41;153;26487;44.4%;3,632.0 ;472.9%;120,480;110528,
108;107;Tech Data;95;108;26235;-0.5%;195.1 ;-26.6%;7,932;3569,,
109;108;Avnet;177;102;26219;-6.1%;506.5 ;-11.4%;11,240;5898,,
110;109;Mondelez International;90;102;25923;-12.5%;1,659.0 ;-77.2%;61,538;65676,
111;110;Macy;1483;103;25778;-4.8%;619.0 ;-42.3%;19,851;9046,,
112;111;AbbVie;30;123;25638;12.2%;5,953.0 ;15.7%;66,099;103838,
113;112;McDonald;375;109;24622;-3.1%;4,686.5 ;3.5%;31,024;106150,
114;113;DuPont;46;101;24594;-12.0%;2,513.0 ;28.7%;39,964;69451,
115;114;Northrop Grumman;67;118;24508;4.2%;2,200.0 ;10.6%;25,614;41577,
116;115;ConocoPhillips;133;90;24360;-21.3%;-3,615.0 ;0;89,772;61692,
117;116;Raytheon;63;120;24069;3.5%;2,211.0 ;6.6%;30,052;44664,
118;117;Tesoro;6308;98;24005;-14.7%;734.0 ;-52.3%;20,398;9515,,
119;118;Arrow Electronics;187;119;23825;2.3%;522.8 ;5.0%;14,206;6546,,
120;119;Qualcomm;305;110;23554;-6.8%;5,705.0 ;8.2%;52,359;84694,
121;120;Progressive;31721;137;23441;12.4%;1,031.0 ;-18.7%;33,428;22760,
122;121;Duke Energy;28798;115;23369;-1.0%;2,152.0 ;-23.6%;132,761;57397,
123;122;Enterprise Products Partners;68;104;23022;-14.8%;2,513.1 ;-0.3%;52,194;58522,
124;123;Amgen;192;130;22991;6.1%;7,722.0 ;11.3%;77,626;120830,
125;124;US Foods Holding;25;122;22919;-0.9%;209.8 ;25.2%;8,945;6207,,
126;125;U.S. Bancorp;71191;131;22744;5.8%;5,888.0 ;0.2%;445,964;87201,
127;126;Aflac;10212;135;22559;8.1%;2,659.0 ;5.0%;129,819;29053,
128;127;Sears Holdings;140;111;22138;-12.0%;-2,221.0 ;0;9,362;1231,
129;128;Dollar General;121;139;21987;7.9%;1,251.1 ;7.4%;11,672;19182,
130;129;AutoNation;26;136;21609;3.6%;430.5 ;-2.7%;10,060;4268,,
131;130;Community Health Systems;108;125;21374;-5.8%;-1,721.0 ;0;21,944;1010,
132;131;Starbucks;254;146;21316;11.2%;2,817.7 ;2.2%;14,330;85092,
133;132;Eli Lilly;41975;141;21222;6.3%;2,737.6 ;13.7%;38,806;92803,
134;133;International Paper;55;127;21079;-5.8%;904.0 ;-3.6%;33,345;20884,,
135;134;Tenet Healthcare;116475;140;21070;4.8%;-192.0 ;0;24,701;1777,,
136;135;Abbott Laboratories;75;138;20853;0.9%;1,400.0 ;-68.3%;52,666;76740,
137;136;Dollar Tree;11605;180;20719;33.7%;896.2 ;217.4%;15,702;18540,,
138;137;Whirlpool;93;134;20718;-0.8%;888.0 ;13.4%;19,153;12762,,
139;138;Southwest Airlines;53536;142;20425;3.1%;2,244.0 ;2.9%;23,286;33076,
140;139;Emerson Electric;1035;128;20268;-9.1%;1,635.0 ;-39.7%;21,743;38614,
141;140;Staples;61503;132;20217;-4.0%;-1,497.0 ;-494.8%;8,271;5723,
142;141;Plains GP Holdings;51;121;20182;-12.8%;94.0 ;-20.3%;26,103;9127,,
143;142;Penske Automotive Group;24;143;20143;4.0%;342.9 ;5.2%;8,861;4001,,
144;143;Union Pacific;42919;129;19941;-8.6%;4,233.0 ;-11.3%;55,718;85911,
145;144;Danaher;62;133;19912;-4.8%;2,553.7 ;-23.9%;45,295;59359,
146;145;Southern;32015;162;19896;13.8%;2,448.0 ;3.4%;109,697;49335,
147;146;ManpowerGroup;28;144;19654;1.7%;443.7 ;5.8%;7,574;6938,,
148;147;Bristol-Myers Squibb;25;168;19427;17.3%;4,457.0 ;184.8%;33,707;89591,
149;148;Altria Group;83;149;19337;2.6%;14,239.0 ;171.7%;45,932;138513,
150;149;Fluor;61551;155;19037;5.1%;281.4 ;-31.8%;9,216;7353,,
151;150;Kohl;85;145;18686;-2.7%;556.0 ;-17.4%;13,574;6862,,
152;151;Lear;1484;154;18558;1.9%;975.1 ;30.8%;9,901;9726,,
153;152;Jabil Circuit;138;158;18353;2.5%;254.1 ;-10.5%;10,323;5270,,
154;153;Hartford Financial Services Group;169;152;18300;-0.4%;896.0 ;-46.7%;223,432;17795,,
155;154;Thermo Fisher Scientific;548;164;18274;7.7%;2,021.8 ;2.3%;45,908;59964,
156;155;Kimberly-Clark;42;151;18202;-2.1%;2,166.0 ;113.8%;14,602;46828,
157;156;Molina Healthcare;21;201;17782;25.4%;52.0 ;-63.6%;7,449;2601,,
158;157;PG&E Corp.;24;166;17666;4.9%;1,393.0 ;59.4%;68,598;33696,
159;158;Supervalu;38;160;17529;-1.6%;178.0 ;-7.3%;4,370;1033,,
160;159;Cummins;554;148;17509;-8.4%;1,394.0 ;-0.4%;15,011;25397,
161;160;CenturyLink;40;159;17470;-2.4%;626.0 ;-28.7%;47,017;12883,,
162;161;AECOM;87;156;17411;-3.2%;96.1 ;0;13,727;5528,,
163;162;Xerox;1336;150;17126;-8.2%;-477.0 ;-200.6%;18,145;7462,,
164;163;Marriott International;2265;195;17072;17.9%;780.0 ;-9.2%;24,140;36124,,
165;164;Paccar;23;147;17033;-10.9%;521.7 ;-67.5%;20,639;23604,,
166;165;General Mills;39;161;16563;-6.1%;1,697.4 ;39.0%;21,712;33998,
167;166;PNC Financial Services Group;50683;171;16423;0.9%;3,903.0 ;-4.9%;366,380;58455,
168;167;American Electric Power;17634;165;16380;-3.1%;610.9 ;-70.2%;63,468;33009,,
169;168;Icahn Enterprises;9098;184;16348;7.0%;-1,128.0 ;0;33,335;7989,
170;169;Nucor;239;170;16208;-1.4%;796.3 ;122.6%;15,224;19051,,
171;170;NextEra Energy;147;163;16155;-7.6%;2,912.0 ;5.8%;89,993;60099,
172;171;Performance Food Group;13;185;16105;5.5%;68.3 ;20.9%;3,455;2464,,
173;172;PBF Energy;3165;217;15920;21.3%;170.8 ;16.7%;7,622;2431,,
174;173;Halliburton;50;117;15887;-32.8%;-5,763.0 ;0;27,000;42662,
175;174;CarMax;22429;191;15833;6.4%;623.4 ;4.4%;14,482;11081,,
176;175;Freeport-McMoRan;30;175;15789;-0.6%;-4,154.0 ;0;37,317;19310,
177;176;Whole Foods Market;73515;181;15724;2.2%;507.0 ;-5.4%;6,341;9468,,
178;177;Bank of New York Mellon Corp.;52;179;15683;1.0%;3,547.0 ;12.3%;333,469;48913,
179;178;Gap;135;177;15516;-1.8%;676.0 ;-26.5%;7,610;9712,,
180;179;Omnicom Group;785;186;15417;1.9%;1,148.6 ;5.0%;23,165;20219,
181;180;Genuine Parts;40;183;15340;0.4%;687.2 ;-2.6%;8,859;13712,,
182;181;DaVita HealthCare Partners;703;200;15197;6.9%;879.9 ;226.2%;18,741;13227,,
183;182;Colgate-Palmolive;367;174;15195;-5.2%;2,441.0 ;76.4%;12,123;64715,
184;183;PPG Industries;47;182;15178;-1.0%;877.0 ;-37.6%;15,769;26970,,
185;184;Goodyear Tire & Rubber;66;169;15158;-7.8%;1,264.0 ;311.7%;16,511;9070,
186;185;Synchrony Financial;15;;15122;11.0%;2,251.0 ;1.7%;90,207;27810,
187;186;DISH Network;16;187;15095;0.2%;1,449.9 ;94.1%;28,092;29547,
188;187;Visa;142;204;15082;8.7%;5,991.0 ;-5.3%;64,035;206242,
189;188;Nordstrom;725;197;14757;2.2%;354.0 ;-41.0%;7,858;7770,,
190;189;INTL FCStone;1464;83;14755;-57.5%;54.7 ;-1.8%;5,951;708,,
191;190;WestRock;39;251;14706;29.2%;-396.3 ;-178.2%;23,038;13029,,
192;191;XPO Logistics;87;353;14619;91.8%;69.0 ;0;11,698;5338,,
193;192;Aramark;21725;199;14416;0.6%;287.8 ;22.0%;10,582;9081,,
194;193;CBS;1841;203;14386;3.6%;1,261.0 ;-10.8%;24,238;28405,
195;194;AES;19;190;14287;-4.5%;-1,130.0 ;-469.3%;36,119;7371,
196;195;WellCare Health Plans;74;202;14237;2.5%;242.1 ;104.1%;6,153;6212,,
197;196;FirstEnergy;15707;188;14156;-3.1%;-6,177.0 ;0;43,148;14118,
198;197;ConAgra Foods;209;176;14134;-10.8%;-677.0 ;0;13,391;17557,,
199;198;Synnex;110;212;14062;5.4%;234.9 ;12.7%;5,223;4469,,
200;199;CDW;8516;220;13982;7.6%;424.4 ;5.3%;6,948;9197,,
201;200;Textron;36;209;13788;2.7%;962.0 ;38.0%;15,358;12851,,
202;201;Waste Management;412;221;13609;5.0%;1,182.0 ;57.0%;20,859;32216,
203;202;Illinois Tool Works;50;211;13599;1.4%;2,035.0 ;7.2%;15,201;45791,
204;203;Office Depot;38;196;13585;-6.2%;529.0 ;0;5,540;2402,,
205;204;Monsanto;2245;189;13502;-10.0%;1,336.0 ;-42.3%;19,736;49644,
206;205;Cognizant Technology Solutions;2602;230;13487;8.6%;1,553.0 ;-4.3%;14,262;36226,
207;206;Texas Instruments;29865;219;13370;2.8%;3,595.0 ;20.4%;16,431;80531,
208;207;Lincoln National;9057;205;13330;-1.8%;1,192.0 ;3.3%;261,627;14760,
209;208;Newell Brands;534;434;13264;122.1%;527.8 ;50.8%;33,838;22787,,
210;209;Land O;10;215;13233;0.6%;244.9 ;-20.4%;8,305;0,,
211;210;Marsh & McLennan;60;222;13211;2.5%;1,768.0 ;10.6%;18,190;38078,
212;211;Ecolab;47565;206;13153;-2.9%;1,229.6 ;22.7%;18,330;36356,
213;212;C.H. Robinson Worldwide;14125;208;13144;-2.5%;513.4 ;0.7%;3,688;10958,,
214;213;Loews;158;210;13105;-2.3%;654.0 ;151.5%;76,594;15747,,
215;214;CBRE Group;75;259;13072;20.4%;572.0 ;4.5%;10,780;11753,,
216;215;Kinder Morgan;11121;198;13058;-9.3%;708.0 ;179.8%;80,305;48533,,
217;216;Kellogg;37369;207;13014;-3.8%;694.0 ;13.0%;15,111;25417,,
218;217;Western Digital;72878;194;12994;-10.8%;242.0 ;-83.5%;32,862;23775,,
219;218;Guardian Life Ins. Co. of America;8876;226;12919;2.3%;263.9 ;-35.7%;70,339;0,,
220;219;Ross Stores;786;237;12867;7.8%;1,117.7 ;9.5%;5,309;25814,
221;220;L Brands;591;234;12574;3.5%;1,158.1 ;-7.6%;8,170;13426,
222;221;J.C. Penney;106;228;12547;-0.6%;1.0 ;0;9,314;1901,,
223;222;Farmers Insurance Exchange;13309;227;12513;-0.9%;-147.9 ;0;16,057;0,,
224;223;Reynolds American;5525;266;12503;17.1%;6,073.0 ;86.7%;51,095;89862,
225;224;Viacom;965;213;12488;-5.9%;1,438.0 ;-25.2%;22,508;18503,
226;225;Becton Dickinson;50928;278;12483;21.4%;976.0 ;40.4%;25,586;39041,,
227;226;Micron Technology;314;173;12399;-23.4%;-276.0 ;-109.5%;27,540;31972,,
228;227;Principal Financial;14854;236;12394;3.6%;1,316.5 ;6.7%;228,014;18143,
229;228;Arconic;415;126;12394;-45.0%;-941.0 ;0;20,038;11604,,
230;229;NRG Energy;8763;193;12351;-15.8%;-774.0 ;0;30,355;5911,,
231;230;VF;69;231;12207;-1.4%;1,074.1 ;-12.8%;9,739;22786,
232;231;Devon Energy;3545;216;12197;-7.2%;-3,302.0 ;0;25,913;21886,
233;232;D.R. Horton;6976;260;12157;12.3%;886.3 ;18.1%;11,559;12438,,
234;233;Bed Bath & Beyond;62;238;12104;1.9%;841.5 ;-12.1%;6,499;5931,,
235;234;Consolidated Edison;1496;229;12075;-3.8%;1,245.0 ;4.4%;48,255;23708,
236;235;Edison International;1239;246;11869;3.0%;1,311.0 ;28.5%;51,319;25938,
237;236;Sherwin-Williams;4255;253;11856;4.6%;1,132.7 ;7.5%;6,753;28891,
238;237;NGL Energy Partners;32;167;11742;-30.1%;-198.9 ;-633.2%;5,560;2686,,
239;238;Dominion Resources;162;243;11737;0.5%;2,123.0 ;11.8%;71,610;48732,
240;239;Ameriprise Financial;13195;232;11735;-3.8%;1,314.0 ;-15.9%;139,821;19953,
241;240;ADP;57;248;11668;1.7%;1,492.5 ;2.8%;43,670;45963,
242;241;Hilton Worldwide Holdings;169;254;11663;3.5%;348.0 ;-75.2%;26,211;19276,,
243;242;First Data;24;249;11584;1.2%;420.0 ;0;40,292;14224,,
244;243;Henry Schein;21;268;11572;8.9%;506.8 ;5.8%;6,730;13461,,
245;244;Toys ;64;240;11540;-2.2%;-36.0 ;0;6,908;0,,
246;245;BB&T Corp.;375;273;11538;11.5%;2,426.0 ;16.4%;219,276;36141,
247;246;Reinsurance Group of America;2371;271;11522;10.6%;701.4 ;39.7%;53,098;8169,,
248;247;Core-Mark Holding;7688;317;11507;29.9%;54.2 ;5.2%;1,497;1445,,
249;248;Biogen;74;263;11449;6.4%;3,702.8 ;4.4%;22,877;59046,
250;249;Las Vegas Sands;49;241;11410;-2.4%;1,670.0 ;-15.1%;20,469;45313,
