id;rank;name;employees;previousrank;revenues;revenuechange;profits;profitschange;assets;marketvalue,,,
251;250;Stanley Black & Decker;54023;256;11407;1.7%;965.3 ;9.2%;15,635;20280,,
252;251;Parker-Hannifin;4895;224;11361;-10.6%;806.8 ;-20.3%;12,057;21370,,
253;252;Stryker;33;287;11325;13.9%;1,647.0 ;14.5%;20,435;49115,
254;253;Estee Lauder;46;261;11262;4.5%;1,114.6 ;2.4%;9,223;31068,
255;254;Celgene;7132;305;11229;21.3%;1,999.2 ;24.8%;28,086;96802,
256;255;BlackRock;13;250;11155;-2.2%;3,172.0 ;-5.2%;220,177;62225,
257;256;Xcel Energy;11476;257;11107;0.7%;1,123.4 ;14.1%;41,155;22546,
258;257;CSX;26628;239;11069;-6.3%;1,714.0 ;-12.9%;35,414;43126,
259;258;Unum Group;94;265;11047;2.9%;931.4 ;7.4%;61,942;10749,,
260;259;Jacobs Engineering Group;4935;235;10964;-9.5%;210.5 ;-30.5%;7,360;6693,,
261;260;Lennar;8335;301;10950;15.6%;911.8 ;13.6%;15,362;12002,,
262;261;Group 1 Automotive;135;267;10888;2.4%;147.1 ;56.5%;4,462;1584,,
263;262;Leucadia National;13;242;10875;-6.9%;130.0 ;-54.2%;45,071;9355,,
264;263;Entergy;13513;247;10846;-5.8%;-583.6 ;0;45,904;13685,,
265;264;PayPal Holdings;181;307;10842;17.2%;1,401.0 ;14.1%;33,103;51650,
266;265;Applied Materials;1615;295;10825;12.1%;1,721.0 ;25.0%;14,588;42005,
267;266;Voya Financial;67;252;10782;-4.9%;-428.0 ;-204.8%;214,235;7191,,
268;267;MasterCard;119;294;10776;11.5%;4,059.0 ;6.6%;18,675;121234,
269;268;Priceline Group;185;308;10743;16.5%;2,135.0 ;-16.3%;19,839;87522,
270;269;Liberty Interactive;2108;284;10647;6.6%;1,235.0 ;42.1%;20,355;9101,
271;270;AutoZone;6678;280;10636;4.4%;1,241.0 ;7.0%;8,600;20540,
272;271;State Street Corp.;33783;264;10635;-1.2%;2,143.0 ;8.2%;242,698;30406,
273;272;DTE Energy;10;274;10630;2.8%;868.0 ;19.4%;32,041;18317,,
274;273;L-3 Communications;38;245;10597;-8.3%;710.0 ;0;11,865;12859,,
275;274;HollyFrontier;2676;214;10536;-20.4%;-260.5 ;-135.2%;9,436;5048,,
276;275;Praxair;26498;262;10534;-2.2%;1,500.0 ;-3.0%;19,332;33834,
277;276;Universal Health Services;70863;290;10508;7.4%;702.4 ;3.2%;10,318;12022,,
278;277;Discover Financial Services;15549;283;10497;4.9%;2,393.0 ;4.2%;92,308;26255,
279;278;Occidental Petroleum;11;225;10398;-18.1%;-574.0 ;0;43,109;48444,,
280;279;United States Steel;298;244;10261;-11.3%;-440.0 ;0;9,160;5893,,
281;280;Sempra Energy;16575;279;10183;-0.5%;1,370.0 ;1.6%;47,786;27692,
282;281;Baxter International;48;286;10163;2.0%;4,965.0 ;412.9%;15,546;28106,
283;282;W.W. Grainger;25;285;10137;1.6%;605.9 ;-21.2%;5,694;13668,,
284;283;Autoliv;659;310;10074;9.9%;567.1 ;24.1%;8,234;9032,,
285;284;Norfolk Southern;27856;270;9888;-5.9%;1,668.0 ;7.2%;34,892;32515,
286;285;Baker Hughes;33;178;9841;-37.5%;-2,738.0 ;0;19,034;25444,
287;286;Ally Financial;76;298;9835;3.1%;1,067.0 ;-17.2%;163,728;9437,
288;287;Sonic Automotive;98;297;9732;1.1%;93.2 ;8.0%;3,639;900,,
289;288;Owens & Minor;79;291;9723;-0.5%;108.8 ;5.2%;2,718;2114,,
290;289;Huntsman;15;277;9657;-6.2%;326.0 ;250.5%;9,189;5880,,
291;290;Laboratory Corp. of America;52;325;9642;11.1%;732.1 ;67.6%;14,247;14696,,
292;291;Murphy USA;66;258;9633;-11.5%;221.5 ;25.6%;2,089;2706,,
293;292;Advance Auto Parts;575;293;9568;-1.7%;459.6 ;-2.9%;8,315;10944,,
294;293;Fidelity National Financial;55219;311;9554;4.6%;650.0 ;23.3%;14,463;10600,,
295;294;Air Products & Chemicals;1845;288;9524;-3.7%;631.1 ;-50.6%;18,055;29438,,
296;295;Hormel Foods;211;304;9523;2.8%;890.1 ;29.7%;6,370;18316,,
297;296;Hertz Global Holdings;36;269;9480;-10.0%;-491.0 ;-279.9%;19,155;1456,,
298;297;MGM Resorts International;665;309;9455;2.9%;1,101.4 ;0;28,173;15733,
299;298;Corning;407;313;9390;3.1%;3,695.0 ;176.0%;27,899;25030,
300;299;Republic Services;33;312;9388;3.0%;612.6 ;-18.3%;20,630;21312,,
301;300;Alcoa;14;;9318;-;-400.0 ;0;16,741;6337,,
302;301;Fidelity National Information Services;55;392;9241;40.1%;568.0 ;-10.1%;26,031;26178,,
303;302;Pacific Life;3628;326;9169;6.1%;824.0 ;24.7%;143,298;0,,
304;303;SunTrust Banks;24375;329;9161;7.4%;1,878.0 ;-2.8%;204,875;27175,
305;304;LKQ;425;369;9082;26.3%;464.0 ;9.6%;8,303;9021,,
306;305;BorgWarner;27;339;9071;13.1%;118.5 ;-80.6%;8,835;8895,,
307;306;Ball;1845;341;9061;13.3%;263.0 ;-6.4%;16,173;13000,,
308;307;CST Brands;1238;299;9061;-4.6%;324.0 ;117.4%;4,360;3645,,
309;308;Public Service Enterprise Group;13065;272;9061;-13.0%;887.0 ;-47.2%;40,070;22451,,
310;309;Eastman Chemical;14;296;9008;-6.6%;854.0 ;0.7%;15,457;11783,,
311;310;eBay;126;300;8979;-5.4%;7,266.0 ;321.2%;23,847;36232,
312;311;Mohawk Industries;378;338;8959;11.0%;930.4 ;51.2%;10,231;17025,,
313;312;Oneok;2384;348;8921;14.9%;352.0 ;43.7%;16,139;11684,,
314;313;Frontier Communications;28332;461;8896;59.5%;-373.0 ;0;29,013;2521,,
315;314;Netflix;385;379;8831;30.3%;186.7 ;52.2%;13,587;63619,,
316;315;American Family Insurance Group;10471;332;8829;6.6%;325.6 ;-53.1%;22,662;0,,
317;316;Thrivent Financial for Lutherans;3282;318;8777;-0.1%;587.8 ;-23.6%;88,561;0,,
318;317;Expedia;20075;385;8774;31.5%;281.8 ;-63.1%;15,778;18901,,
319;318;Lithia Motors;1117;346;8678;10.3%;197.1 ;7.7%;3,844;2156,,
320;319;Avis Budget Group;256;330;8659;1.8%;163.0 ;-47.9%;17,643;2528,,
321;320;Reliance Steel & Aluminum;145;303;8613;-7.9%;304.3 ;-2.3%;7,411;5830,,
322;321;GameStop;4175;302;8608;-8.1%;353.2 ;-12.3%;4,976;2282,,
323;322;Tenneco;31;334;8599;4.8%;363.0 ;47.0%;4,342;3390,,
324;323;O;58397;342;8593;7.9%;1,037.7 ;11.4%;7,204;24730,
325;324;Peter Kiewit Sons;20;314;8573;-4.7%;396.0 ;57.8%;6,179;0,,
326;325;United Natural Foods;9554;335;8470;3.5%;125.8 ;-9.3%;2,852;2187,,
327;326;salesforce.com;25;386;8392;25.9%;179.6 ;0;17,585;58362,,
328;327;Boston Scientific;27;359;8386;12.2%;347.0 ;0;18,096;34046,,
329;328;Newmont Mining;12438;349;8379;8.4%;-627.0 ;-385.0%;21,031;17518,,
330;329;Genworth Financial;34;306;8369;-9.5%;-277.0 ;0;104,658;2056,,
331;330;Live Nation Entertainment;115;366;8355;15.3%;2.9 ;0;6,764;6219,,
332;331;Veritiv;87;323;8327;-4.5%;21.0 ;-21.3%;2,484;813,,
333;332;News Corp.;24;327;8319;-3.6%;179.0 ;0;15,483;7559,,
334;333;Crown Holdings;23992;321;8284;-5.5%;496.0 ;26.2%;9,599;7367,,
335;334;Global Partners;177;276;8240;-20.1%;-199.4 ;-557.8%;2,564;663,,
336;335;PVH;2665;340;8203;2.3%;549.0 ;-4.1%;11,068;8092,,
337;336;Level 3 Communications;126;333;8172;-0.7%;677.0 ;-80.3%;24,888;20638,,
338;337;Navistar International;113;281;8111;-20.0%;-97.0 ;0;5,653;2416,,
339;338;Univar;87;315;8074;-10.1%;-68.4 ;-514.5%;5,390;4293,,
340;339;Campbell Soup;165;337;7961;-1.5%;563.0 ;-18.5%;7,837;17423,,
341;340;Dick;2755;365;7922;9.0%;287.4 ;-13.0%;4,058;5489,,
342;341;Weyerhaeuser;104;373;7902;11.6%;1,027.0 ;103.0%;19,243;25451,
343;342;Mutual of Omaha Insurance;5732;367;7899;9.2%;356.6 ;7.1%;38,465;0,,
344;343;Chesapeake Energy;33;223;7872;-38.3%;-4,401.0 ;0;13,028;5394,
345;344;Anadarko Petroleum;45;324;7869;-9.5%;-3,071.0 ;0;45,564;34640,
346;345;Interpublic Group;498;355;7847;3.1%;608.5 ;33.9%;12,485;9648,,
347;346;J.M. Smucker;691;452;7811;37.2%;688.7 ;99.7%;15,984;15263,,
348;347;Steel Dynamics;7695;356;7777;2.4%;382.1 ;0;6,424;8425,,
349;348;Foot Locker;32965;361;7766;4.8%;664.0 ;22.7%;3,840;9818,,
350;349;Western Refining;7134;289;7743;-20.9%;124.9 ;-69.3%;5,560;3812,,
351;350;SpartanNash;115;351;7735;1.1%;56.8 ;-9.4%;1,930;1313,,
352;351;Dean Foods;17;336;7710;-5.1%;119.9 ;0;2,606;1786,,
353;352;Zimmer Biomet Holdings;185;431;7684;28.1%;305.9 ;108.1%;26,684;24571,,
354;353;PulteGroup;4623;433;7669;28.2%;602.7 ;22.0%;10,178;7466,,
355;354;W.R. Berkley;7608;368;7654;6.2%;601.9 ;19.5%;23,365;8561,,
356;355;Quanta Services;281;352;7651;0.2%;198.4 ;-36.2%;5,354;5386,,
357;356;EOG Resources;265;322;7651;-12.6%;-1,096.7 ;0;29,459;56302,
358;357;Charles Schwab;162;401;7644;17.6%;1,889.0 ;30.5%;223,383;54555,
359;358;Eversource Energy;7762;343;7639;-4.0%;942.3 ;7.3%;32,053;18627,,
360;359;Anixter International;89;391;7625;15.6%;120.5 ;-5.6%;4,094;2626,,
361;360;EMCOR Group;31;381;7552;12.3%;181.9 ;5.6%;3,894;3756,,
362;361;Assurant;147;275;7532;-27.1%;565.4 ;299.4%;29,709;5298,,
363;362;CenterPoint Energy;7727;363;7528;1.9%;432.0 ;0;21,829;11882,,
364;363;Harris;21;505;7527;48.1%;324.0 ;-3.0%;11,996;13849,,
365;364;HD Supply Holdings;14;320;7524;-14.3%;196.0 ;-86.7%;5,707;8296,,
366;365;PPL;12689;350;7517;-2.0%;1,902.0 ;178.9%;38,315;25448,
367;366;Quest Diagnostics;43;358;7515;0.3%;645.0 ;-9.0%;10,100;13501,,
368;367;Williams;5604;364;7499;1.9%;-424.0 ;0;46,835;24436,,
369;368;WEC Energy Group;8074;437;7472;26.1%;939.0 ;47.1%;30,123;19134,,
370;369;Hershey;1714;362;7440;0.7%;720.0 ;40.4%;5,524;23236,,
371;370;AGCO;19795;360;7411;-0.8%;160.1 ;-39.9%;7,168;4783,,
372;371;Ralph Lauren;205;354;7405;-2.8%;396.0 ;-43.6%;6,213;6710,,
373;372;Masco;26;345;7357;-6.9%;491.0 ;38.3%;5,137;10888,,
374;373;WESCO International;9;357;7336;-2.4%;101.6 ;-51.8%;4,491;3389,,
375;374;LifePoint Health;47;430;7274;20.9%;121.9 ;-33.0%;6,319;2616,,
376;375;National Oilwell Varco;36384;192;7251;-50.9%;-2,412.0 ;0;21,140;15183,
377;376;Kindred Healthcare;7665;372;7227;1.8%;-664.2 ;0;6,113;711,,
378;377;Mosaic;87;316;7163;-19.5%;297.8 ;-70.2%;16,841;10242,,
379;378;Alliance Data Systems;17;404;7138;10.8%;515.8 ;-13.5%;25,514;13925,,
380;379;Computer Sciences;59;233;7106;-41.7%;251.0 ;0;7,736;9746,,
381;380;Huntington Ingalls Industries;37;378;7068;0.7%;573.0 ;41.8%;6,352;9265,,
382;381;Leidos Holdings;32;504;7043;38.5%;244.0 ;-3.9%;9,132;7696,,
383;382;Erie Insurance Group;4988;411;7016;5.7%;741.9 ;10.7%;18,417;0,,
384;383;Tesla;30025;588;7000;73.0%;-674.9 ;0;22,664;45390,,
385;384;Ascena Retail Group;41;523;6995;45.6%;-11.9 ;0;5,506;830,,
386;385;Darden Restaurants;150942;371;6934;-3.2%;375.0 ;-47.1%;4,583;10389,,
387;386;Harman International Industries;26;419;6912;12.3%;361.7 ;5.6%;6,054;0,,
388;387;Nvidia;10299;508;6910;37.9%;1,666.0 ;171.3%;9,841;64160,
389;388;R.R. Donnelley & Sons;4436;255;6896;-38.7%;-495.9 ;-428.2%;4,285;846,,
390;389;Fifth Third Bancorp;17844;376;6889;-2.0%;1,564.0 ;-8.6%;142,177;19066,
391;390;Quintiles Transnational Holdings;50;447;6878;19.9%;115.0 ;-70.3%;21,208;18999,,
392;391;Jones Lang LaSalle;773;436;6804;14.0%;318.2 ;-27.5%;7,629;5043,,
393;392;Dover;29;377;6794;-3.3%;508.9 ;-41.5%;10,116;12502,,
394;393;Spirit AeroSystems Holdings;144;389;6793;2.2%;469.7 ;-40.4%;5,405;6900,,
395;394;Ryder System;345;395;6787;3.3%;262.5 ;-13.9%;10,903;3992,,
396;395;A-Mark Precious Metals;83;426;6784;11.8%;9.3 ;31.5%;437;120,,,
397;396;Tractor Supply;195;415;6780;8.9%;437.1 ;6.5%;2,675;8960,,
398;397;Sealed Air;23;375;6778;-3.6%;486.4 ;45.0%;7,389;8432,,
399;398;Auto-Owners Insurance;4737;398;6775;4.0%;706.3 ;-13.4%;21,571;0,,
400;399;Yum China Holdings;420;;6752;-;502.0 ;0;3,727;10453,,
401;400;Calpine;2372;402;6716;3.8%;92.0 ;-60.9%;19,317;3989,,
402;401;Owens-Illinois;27;418;6702;8.9%;209.0 ;54.8%;9,135;3316,,
403;402;Targa Resources;197;387;6691;0.5%;-187.3 ;-421.3%;12,871;11743,,
404;403;JetBlue Airways;15986;405;6632;3.4%;759.0 ;12.1%;9,487;6875,,
405;404;Jones Financial;43;382;6632;-0.9%;746.0 ;-11.0%;19,424;0,,
406;405;Franklin Resources;9059;344;6618;-16.7%;1,726.7 ;-15.2%;16,099;23823,
407;406;Activision Blizzard;95;532;6608;41.7%;966.0 ;8.3%;17,452;37487,,
408;407;J.B. Hunt Transport Services;2219;416;6556;5.9%;432.1 ;1.1%;3,829;10212,,
409;408;Constellation Brands;9;429;6548;8.6%;1,054.9 ;25.7%;16,965;31775,
410;409;NCR;335;409;6543;2.7%;270.0 ;0;7,673;5620,,
411;410;Asbury Automotive Group;79;393;6528;-0.9%;167.2 ;-1.2%;2,336;1271,,
412;411;American Financial Group;76;421;6498;5.7%;649.0 ;84.4%;55,072;8303,,
413;412;Discovery Communications;7;406;6497;1.6%;1,194.0 ;15.5%;15,758;11306,
414;413;Berry Global Group;21;518;6489;32.9%;236.0 ;174.4%;7,653;6256,,
415;414;Sanmina;40178;408;6481;1.7%;187.8 ;-50.2%;3,625;3016,,
416;415;CalAtlantic Group;3055;640;6477;83.0%;484.7 ;127.0%;8,709;4291,,
417;416;Dr Pepper Snapple Group;20;413;6440;2.5%;847.0 ;10.9%;9,791;17997,,
418;417;Dillard;308;380;6418;-5.0%;169.2 ;-37.2%;3,888;1645,,
419;418;HRG Group;16021;441;6403;10.1%;-198.8 ;0;35,793;3869,,
420;419;CMS Energy;775;403;6399;-0.9%;551.0 ;5.4%;21,622;12528,,
421;420;Graybar Electric;85;423;6385;4.5%;93.1 ;2.2%;2,099;0,,
422;421;Builders FirstSource;14;637;6367;78.6%;144.3 ;0;2,910;1669,,
423;422;Yum Brands;90;218;6366;-51.4%;1,619.0 ;25.2%;5,478;22611,
424;423;Casey;24724;374;6304;-10.6%;226.0 ;25.1%;2,726;4400,,
425;424;Amphenol;62;462;6286;12.9%;822.9 ;7.8%;8,499;21897,,
426;425;Oshkosh;138;424;6279;3.0%;216.4 ;-5.7%;4,514;5118,,
427;426;iHeartMedia;187;414;6274;0.5%;-296.3 ;0;12,862;330,,
428;427;TreeHouse Foods;16027;686;6175;92.6%;-228.6 ;-298.9%;6,546;4813,,
429;428;Alleghany;342;509;6131;22.6%;456.9 ;-18.5%;23,757;9476,,
430;429;Expeditors International of Washington;16;390;6098;-7.8%;430.8 ;-5.8%;2,791;10208,,
431;430;Avery Dennison;25;435;6087;2.0%;320.7 ;16.9%;4,396;7157,,
432;431;Ameren;8629;425;6076;-0.4%;653.0 ;3.7%;24,699;13245,,
433;432;Hanesbrands;678;448;6063;5.8%;539.4 ;25.8%;6,908;7733,,
434;433;Motorola Solutions;14;451;6038;6.0%;560.0 ;-8.2%;8,463;14131,,
435;434;St. Jude Medical;18;465;6004;8.4%;734.0 ;-16.6%;12,578;0,,
436;435;Harley-Davidson;6;432;5997;-;692.2 ;-8.0%;9,890;10626,,
437;436;Regions Financial;22166;453;5967;5.2%;1,163.0 ;9.5%;125,968;17512,
438;437;Intercontinental Exchange;5631;529;5958;27.3%;1,422.0 ;11.6%;82,003;35530,
439;438;Alaska Air Group;19112;459;5931;5.9%;814.0 ;-4.0%;9,962;11407,,
440;439;Old Republic International;85;442;5901;2.3%;466.9 ;10.6%;18,592;5382,,
441;440;Lam Research;75;491;5886;11.9%;914.0 ;39.4%;12,272;20903,,
442;441;AK Steel Holding;85;383;5883;-12.1%;-7.8 ;0;4,036;2263,,
443;442;Rockwell Automation;22;412;5880;-6.8%;729.7 ;-11.8%;7,101;20024,,
444;443;Adobe Systems;15706;524;5854;22.1%;1,168.8 ;85.7%;12,707;64375,
445;444;Avon Products;264;370;5853;-18.4%;-107.6 ;0;3,419;1933,,
446;445;Terex;181;396;5841;-10.7%;-176.1 ;-220.7%;5,007;3250,,
447;446;NVR;49;498;5835;12.9%;425.3 ;11.1%;2,644;7851,,
448;447;Dana Holding;249;428;5826;-3.9%;640.0 ;302.5%;4,860;2783,,
449;448;Realogy Holdings;118;449;5810;1.8%;213.0 ;15.8%;7,421;4173,,
450;449;American Tower;4507;526;5786;21.3%;956.4 ;39.6%;30,879;51921,,
451;450;Packaging Corp. of America;14;446;5779;0.6%;449.6 ;2.9%;5,777;8631,,
452;451;Citizens Financial Group;176;486;5763;9.2%;1,045.0 ;24.4%;149,520;17597,
453;452;United Rentals;125;440;5762;-0.9%;566.0 ;-3.2%;11,988;10561,,
454;453;Clorox;8;455;5761;1.7%;648.0 ;11.7%;4,518;17294,,
455;454;Genesis Healthcare;82;457;5733;2.0%;-64.0 ;0;5,779;408,,
456;455;M&T Bank Corp.;16487;510;5722;14.5%;1,315.1 ;21.8%;123,449;23792,
457;456;Ingredion;11;456;5704;1.5%;484.9 ;20.6%;5,782;8646,,
458;457;UGI;13105;384;5686;-15.0%;364.7 ;29.8%;10,847;8543,,
459;458;Owens Corning;16;480;5677;6.1%;393.0 ;19.1%;7,741;6910,,
460;459;S&P Global;20;481;5661;6.6%;2,106.0 ;82.2%;8,669;33805,
461;460;Markel;109;476;5612;4.5%;455.7 ;-21.8%;25,875;13623,,
462;461;Wyndham Worldwide;378;466;5599;1.1%;611.0 ;-0.2%;9,819;8829,,
463;462;Arthur J. Gallagher;2479;471;5595;3.8%;414.4 ;16.1%;11,490;10148,,
464;463;Burlington Stores;40;500;5591;9.0%;215.9 ;43.5%;2,575;6836,,
465;464;First American Financial;19531;497;5576;7.7%;343.0 ;19.1%;8,832;4332,,
466;465;Symantec;11;400;5568;-14.4%;2,488.0 ;183.4%;11,767;18986,
467;466;Patterson;7;559;5555;27.0%;187.2 ;-16.2%;3,521;4393,,
468;467;Olin;64;761;5551;94.5%;-3.9 ;0;8,763;5444,,
469;468;NetApp;1203;422;5546;-9.4%;229.0 ;-59.1%;10,037;11339,,
470;469;Raymond James Financial;119;482;5520;4.0%;529.4 ;5.4%;31,594;10958,,
471;470;TravelCenters of America;20259;439;5511;-5.8%;-2.0 ;-107.3%;1,660;241,,
472;471;Fiserv;23;492;5505;4.8%;930.0 ;30.6%;9,743;24741,,
473;472;Host Hotels & Resorts;220;472;5488;1.9%;762.0 ;36.6%;11,408;13794,,
474;473;Insight Enterprises;593;474;5486;2.1%;84.7 ;11.7%;2,219;1458,,
475;474;Mattel;32;450;5457;-4.3%;318.0 ;-13.9%;6,494;8770,,
476;475;AmTrust Financial Services;8;531;5451;18.1%;411.0 ;-8.8%;22,615;3158,,
477;476;Cincinnati Financial;4754;499;5449;6.0%;590.7 ;-6.8%;20,386;11911,,
478;477;Simon Property Group;405;488;5435;3.2%;1,838.9 ;0.6%;31,104;53732,
479;478;Western Union;107;468;5423;-1.1%;253.2 ;-69.8%;9,420;9691,,
480;479;KeyCorp;157;540;5422;19.4%;791.0 ;-13.6%;136,453;19238,,
481;480;Delek US Holdings;1326;445;5414;-6.0%;-153.7 ;-892.3%;2,985;1504,,
482;481;Booz Allen Hamilton Holding;226;487;5406;2.5%;294.1 ;26.5%;3,010;5307,,
483;482;Chemours;7;;5400;-;7.0 ;0;6,060;7080,,
484;483;Western & Southern Financial Group;2178;479;5398;0.8%;241.2 ;-47.2%;43,831;0,,
485;484;Celanese;7293;453;5389;-5.0%;900.0 ;196.1%;8,357;12643,,
486;485;Windstream Holdings;1187;443;5387;-6.6%;-383.5 ;0;11,770;1038,,
487;486;Seaboard;11781;460;5379;-3.8%;312.0 ;82.5%;4,755;4881,,
488;487;Essendant;66;477;5369;0.1%;63.9 ;0;2,164;568,,
489;488;Apache;3727;388;5354;-19.5%;-1,405.0 ;0;22,519;19547,
490;489;Airgas;17;484;5314;0.2%;337.5 ;-8.3%;6,135;0,,
491;490;Kelly Services;75;467;5277;-4.4%;120.8 ;124.5%;2,028;836,,
492;491;Liberty Media;3626;525;5276;10.0%;680.0 ;962.5%;31,377;13055,,
493;492;Rockwell Collins;19;490;5259;-0.1%;728.0 ;6.1%;7,707;12711,,
494;493;Robert Half International;164;503;5250;3.1%;343.4 ;-4.0%;1,778;6240,,
495;494;CH2M Hill;20;478;5236;-2.3%;15.0 ;-81.3%;2,671;0,,
496;495;Big Lots;2315;495;5200;0.2%;152.8 ;7.0%;1,608;2180,,
497;496;Michaels Cos.;31;517;5197;5.8%;378.2 ;4.2%;2,148;4229,,
498;497;Toll Brothers;42;576;5170;23.9%;382.1 ;5.2%;9,737;5872,,
499;498;Yahoo;85;513;5169;4.0%;-214.3 ;0;48,083;44391,,
500;499;Vistra Energy;4431;;5164;-;-;0;15,167;6968,,
501;500;ABM Industries;110;485;5145;-2.8%;57.2 ;-25.0%;2,281;2428,,
