,accel,cyl,displ,hp,mpg,name,origin,weight,yr
0,12.0,8,307.0,130,18.0,chevrolet chevelle malibu,US,3504,70
1,11.5,8,350.0,165,15.0,buick skylark 320,US,3693,70
2,11.0,8,318.0,150,18.0,plymouth satellite,US,3436,70
3,12.0,8,304.0,150,16.0,amc rebel sst,US,3433,70
4,10.5,8,302.0,140,17.0,ford torino,US,3449,70
5,10.0,8,429.0,198,15.0,ford galaxie 500,US,4341,70
6,9.0,8,454.0,220,14.0,chevrolet impala,US,4354,70
7,8.5,8,440.0,215,14.0,plymouth fury iii,US,4312,70
8,10.0,8,455.0,225,14.0,pontiac catalina,US,4425,70
9,8.5,8,390.0,190,15.0,amc ambassador dpl,US,3850,70
10,10.0,8,383.0,170,15.0,dodge challenger se,US,3563,70
11,8.0,8,340.0,160,14.0,plymouth 'cuda 340,US,3609,70
12,9.5,8,400.0,150,15.0,chevrolet monte carlo,US,3761,70
13,10.0,8,455.0,225,14.0,buick estate wagon (sw),US,3086,70
14,15.0,4,113.0,95,24.0,toyota corona mark ii,Asia,2372,70
15,15.5,6,198.0,95,22.0,plymouth duster,US,2833,70
16,15.5,6,199.0,97,18.0,amc hornet,US,2774,70
17,16.0,6,200.0,85,21.0,ford maverick,US,2587,70
18,14.5,4,97.0,88,27.0,datsun pl510,Asia,2130,70
19,20.5,4,97.0,46,26.0,volkswagen 1131 deluxe sedan,Europe,1835,70
20,17.5,4,110.0,87,25.0,peugeot 504,Europe,2672,70
21,14.5,4,107.0,90,24.0,audi 100 ls,Europe,2430,70
22,17.5,4,104.0,95,25.0,saab 99e,Europe,2375,70
23,12.5,4,121.0,113,26.0,bmw 2002,Europe,2234,70
24,15.0,6,199.0,90,21.0,amc gremlin,US,2648,70
25,14.0,8,360.0,215,10.0,ford f250,US,4615,70
26,15.0,8,307.0,200,10.0,chevy c20,US,4376,70
27,13.5,8,318.0,210,11.0,dodge d200,US,4382,70
28,18.5,8,304.0,193,9.0,hi 1200d,US,4732,70
29,14.5,4,97.0,88,27.0,datsun pl510,Asia,2130,71
30,15.5,4,140.0,90,28.0,chevrolet vega 2300,US,2264,71
31,14.0,4,113.0,95,25.0,toyota corona,Asia,2228,71
32,13.0,6,232.0,100,19.0,amc gremlin,US,2634,71
33,15.5,6,225.0,105,16.0,plymouth satellite custom,US,3439,71
34,15.5,6,250.0,100,17.0,chevrolet chevelle malibu,US,3329,71
35,15.5,6,250.0,88,19.0,ford torino 500,US,3302,71
36,15.5,6,232.0,100,18.0,amc matador,US,3288,71
37,12.0,8,350.0,165,14.0,chevrolet impala,US,4209,71
38,11.5,8,400.0,175,14.0,pontiac catalina brougham,US,4464,71
39,13.5,8,351.0,153,14.0,ford galaxie 500,US,4154,71
40,13.0,8,318.0,150,14.0,plymouth fury iii,US,4096,71
41,11.5,8,383.0,180,12.0,dodge monaco (sw),US,4955,71
42,12.0,8,400.0,170,13.0,ford country squire (sw),US,4746,71
43,12.0,8,400.0,175,13.0,pontiac safari (sw),US,5140,71
44,13.5,6,258.0,110,18.0,amc hornet sportabout (sw),US,2962,71
45,19.0,4,140.0,72,22.0,chevrolet vega (sw),US,2408,71
46,15.0,6,250.0,100,19.0,pontiac firebird,US,3282,71
47,14.5,6,250.0,88,18.0,ford mustang,US,3139,71
48,14.0,4,122.0,86,23.0,mercury capri 2000,US,2220,71
49,14.0,4,116.0,90,28.0,opel 1900,Europe,2123,71
50,19.5,4,79.0,70,30.0,peugeot 304,Europe,2074,71
51,14.5,4,88.0,76,30.0,fiat 124b,Europe,2065,71
52,19.0,4,71.0,65,31.0,toyota corolla 1200,Asia,1773,71
53,18.0,4,72.0,69,35.0,datsun 1200,Asia,1613,71
54,19.0,4,97.0,60,27.0,volkswagen model 111,Europe,1834,71
55,20.5,4,91.0,70,26.0,plymouth cricket,US,1955,71
56,15.5,4,113.0,95,24.0,toyota corona hardtop,Asia,2278,72
57,17.0,4,97.5,80,25.0,dodge colt hardtop,US,2126,72
58,23.5,4,97.0,54,23.0,volkswagen type 3,Europe,2254,72
59,19.5,4,140.0,90,20.0,chevrolet vega,US,2408,72
60,16.5,4,122.0,86,21.0,ford pinto runabout,US,2226,72
61,12.0,8,350.0,165,13.0,chevrolet impala,US,4274,72
62,12.0,8,400.0,175,14.0,pontiac catalina,US,4385,72
63,13.5,8,318.0,150,15.0,plymouth fury iii,US,4135,72
64,13.0,8,351.0,153,14.0,ford galaxie 500,US,4129,72
65,11.5,8,304.0,150,17.0,amc ambassador sst,US,3672,72
66,11.0,8,429.0,208,11.0,mercury marquis,US,4633,72
67,13.5,8,350.0,155,13.0,buick lesabre custom,US,4502,72
68,13.5,8,350.0,160,12.0,oldsmobile delta 88 royale,US,4456,72
69,12.5,8,400.0,190,13.0,chrysler newport royal,US,4422,72
70,13.5,3,70.0,97,19.0,mazda rx2 coupe,Asia,2330,72
71,12.5,8,304.0,150,15.0,amc matador (sw),US,3892,72
72,14.0,8,307.0,130,13.0,chevrolet chevelle concours (sw),US,4098,72
73,16.0,8,302.0,140,13.0,ford gran torino (sw),US,4294,72
74,14.0,8,318.0,150,14.0,plymouth satellite custom (sw),US,4077,72
75,14.5,4,121.0,112,18.0,volvo 145e (sw),Europe,2933,72
76,18.0,4,121.0,76,22.0,volkswagen 411 (sw),Europe,2511,72
77,19.5,4,120.0,87,21.0,peugeot 504 (sw),Europe,2979,72
78,18.0,4,96.0,69,26.0,renault 12 (sw),Europe,2189,72
79,16.0,4,122.0,86,22.0,ford pinto (sw),US,2395,72
80,17.0,4,97.0,92,28.0,datsun 510 (sw),Asia,2288,72
81,14.5,4,120.0,97,23.0,toyouta corona mark ii (sw),Asia,2506,72
82,15.0,4,98.0,80,28.0,dodge colt (sw),US,2164,72
83,16.5,4,97.0,88,27.0,toyota corolla 1600 (sw),Asia,2100,72
84,13.0,8,350.0,175,13.0,buick century 350,US,4100,73
85,11.5,8,304.0,150,14.0,amc matador,US,3672,73
86,13.0,8,350.0,145,13.0,chevrolet malibu,US,3988,73
87,14.5,8,302.0,137,14.0,ford gran torino,US,4042,73
88,12.5,8,318.0,150,15.0,dodge coronet custom,US,3777,73
89,11.5,8,429.0,198,12.0,mercury marquis brougham,US,4952,73
90,12.0,8,400.0,150,13.0,chevrolet caprice classic,US,4464,73
91,13.0,8,351.0,158,13.0,ford ltd,US,4363,73
92,14.5,8,318.0,150,14.0,plymouth fury gran sedan,US,4237,73
93,11.0,8,440.0,215,13.0,chrysler new yorker brougham,US,4735,73
94,11.0,8,455.0,225,12.0,buick electra 225 custom,US,4951,73
95,11.0,8,360.0,175,13.0,amc ambassador brougham,US,3821,73
96,16.5,6,225.0,105,18.0,plymouth valiant,US,3121,73
97,18.0,6,250.0,100,16.0,chevrolet nova custom,US,3278,73
98,16.0,6,232.0,100,18.0,amc hornet,US,2945,73
99,16.5,6,250.0,88,18.0,ford maverick,US,3021,73
100,16.0,6,198.0,95,23.0,plymouth duster,US,2904,73
101,21.0,4,97.0,46,26.0,volkswagen super beetle,Europe,1950,73
102,14.0,8,400.0,150,11.0,chevrolet impala,US,4997,73
103,12.5,8,400.0,167,12.0,ford country,US,4906,73
104,13.0,8,360.0,170,13.0,plymouth custom suburb,US,4654,73
105,12.5,8,350.0,180,12.0,oldsmobile vista cruiser,US,4499,73
106,15.0,6,232.0,100,18.0,amc gremlin,US,2789,73
107,19.0,4,97.0,88,20.0,toyota carina,Asia,2279,73
108,19.5,4,140.0,72,21.0,chevrolet vega,US,2401,73
109,16.5,4,108.0,94,22.0,datsun 610,Asia,2379,73
110,13.5,3,70.0,90,18.0,maxda rx3,Asia,2124,73
111,18.5,4,122.0,85,19.0,ford pinto,US,2310,73
112,14.0,6,155.0,107,21.0,mercury capri v6,US,2472,73
113,15.5,4,98.0,90,26.0,fiat 124 sport coupe,Europe,2265,73
114,13.0,8,350.0,145,15.0,chevrolet monte carlo s,US,4082,73
115,9.5,8,400.0,230,16.0,pontiac grand prix,US,4278,73
116,19.5,4,68.0,49,29.0,fiat 128,Europe,1867,73
117,15.5,4,116.0,75,24.0,opel manta,Europe,2158,73
118,14.0,4,114.0,91,20.0,audi 100ls,Europe,2582,73
119,15.5,4,121.0,112,19.0,volvo 144ea,Europe,2868,73
120,11.0,8,318.0,150,15.0,dodge dart custom,US,3399,73
121,14.0,4,121.0,110,24.0,saab 99le,Europe,2660,73
122,13.5,6,156.0,122,20.0,toyota mark ii,Asia,2807,73
123,11.0,8,350.0,180,11.0,oldsmobile omega,US,3664,73
124,16.5,6,198.0,95,20.0,plymouth duster,US,3102,74
125,16.0,6,232.0,100,19.0,amc hornet,US,2901,74
126,17.0,6,250.0,100,15.0,chevrolet nova,US,3336,74
127,19.0,4,79.0,67,31.0,datsun b210,Asia,1950,74
128,16.5,4,122.0,80,26.0,ford pinto,US,2451,74
129,21.0,4,71.0,65,32.0,toyota corolla 1200,Asia,1836,74
130,17.0,4,140.0,75,25.0,chevrolet vega,US,2542,74
131,17.0,6,250.0,100,16.0,chevrolet chevelle malibu classic,US,3781,74
132,18.0,6,258.0,110,16.0,amc matador,US,3632,74
133,16.5,6,225.0,105,18.0,plymouth satellite sebring,US,3613,74
134,14.0,8,302.0,140,16.0,ford gran torino,US,4141,74
135,14.5,8,350.0,150,13.0,buick century luxus (sw),US,4699,74
136,13.5,8,318.0,150,14.0,dodge coronet custom (sw),US,4457,74
137,16.0,8,302.0,140,14.0,ford gran torino (sw),US,4638,74
138,15.5,8,304.0,150,14.0,amc matador (sw),US,4257,74
139,16.5,4,98.0,83,29.0,audi fox,Europe,2219,74
140,15.5,4,79.0,67,26.0,volkswagen dasher,Europe,1963,74
141,14.5,4,97.0,78,26.0,opel manta,Europe,2300,74
142,16.5,4,76.0,52,31.0,toyota corona,Asia,1649,74
143,19.0,4,83.0,61,32.0,datsun 710,Asia,2003,74
144,14.5,4,90.0,75,28.0,dodge colt,US,2125,74
145,15.5,4,90.0,75,24.0,fiat 128,Europe,2108,74
146,14.0,4,116.0,75,26.0,fiat 124 tc,Europe,2246,74
147,15.0,4,120.0,97,24.0,honda civic,Asia,2489,74
148,15.5,4,108.0,93,26.0,subaru,Asia,2391,74
149,16.0,4,79.0,67,31.0,fiat x1.9,Europe,2000,74
150,16.0,6,225.0,95,19.0,plymouth valiant custom,US,3264,75
151,16.0,6,250.0,105,18.0,chevrolet nova,US,3459,75
152,21.0,6,250.0,72,15.0,mercury monarch,US,3432,75
153,19.5,6,250.0,72,15.0,ford maverick,US,3158,75
154,11.5,8,400.0,170,16.0,pontiac catalina,US,4668,75
155,14.0,8,350.0,145,15.0,chevrolet bel air,US,4440,75
156,14.5,8,318.0,150,16.0,plymouth grand fury,US,4498,75
157,13.5,8,351.0,148,14.0,ford ltd,US,4657,75
158,21.0,6,231.0,110,17.0,buick century,US,3907,75
159,18.5,6,250.0,105,16.0,chevroelt chevelle malibu,US,3897,75
160,19.0,6,258.0,110,15.0,amc matador,US,3730,75
161,19.0,6,225.0,95,18.0,plymouth fury,US,3785,75
162,15.0,6,231.0,110,21.0,buick skyhawk,US,3039,75
163,13.5,8,262.0,110,20.0,chevrolet monza 2+2,US,3221,75
164,12.0,8,302.0,129,13.0,ford mustang ii,US,3169,75
165,16.0,4,97.0,75,29.0,toyota corolla,Asia,2171,75
166,17.0,4,140.0,83,23.0,ford pinto,US,2639,75
167,16.0,6,232.0,100,20.0,amc gremlin,US,2914,75
168,18.5,4,140.0,78,23.0,pontiac astro,US,2592,75
169,13.5,4,134.0,96,24.0,toyota corona,Asia,2702,75
170,16.5,4,90.0,71,25.0,volkswagen dasher,Europe,2223,75
171,17.0,4,119.0,97,24.0,datsun 710,Asia,2545,75
172,14.5,6,171.0,97,18.0,ford pinto,US,2984,75
173,14.0,4,90.0,70,29.0,volkswagen rabbit,Europe,1937,75
174,17.0,6,232.0,90,19.0,amc pacer,US,3211,75
175,15.0,4,115.0,95,23.0,audi 100ls,Europe,2694,75
176,17.0,4,120.0,88,23.0,peugeot 504,Europe,2957,75
177,14.5,4,121.0,98,22.0,volvo 244dl,Europe,2945,75
178,13.5,4,121.0,115,25.0,saab 99le,Europe,2671,75
179,17.5,4,91.0,53,33.0,honda civic cvcc,Asia,1795,75
180,15.5,4,107.0,86,28.0,fiat 131,Europe,2464,76
181,16.9,4,116.0,81,25.0,opel 1900,Europe,2220,76
182,14.9,4,140.0,92,25.0,capri ii,US,2572,76
183,17.7,4,98.0,79,26.0,dodge colt,US,2255,76
184,15.3,4,101.0,83,27.0,renault 12tl,Europe,2202,76
185,13.0,8,305.0,140,17.5,chevrolet chevelle malibu classic,US,4215,76
186,13.0,8,318.0,150,16.0,dodge coronet brougham,US,4190,76
187,13.9,8,304.0,120,15.5,amc matador,US,3962,76
188,12.8,8,351.0,152,14.5,ford gran torino,US,4215,76
189,15.4,6,225.0,100,22.0,plymouth valiant,US,3233,76
190,14.5,6,250.0,105,22.0,chevrolet nova,US,3353,76
191,17.6,6,200.0,81,24.0,ford maverick,US,3012,76
192,17.6,6,232.0,90,22.5,amc hornet,US,3085,76
193,22.2,4,85.0,52,29.0,chevrolet chevette,US,2035,76
194,22.1,4,98.0,60,24.5,chevrolet woody,US,2164,76
195,14.2,4,90.0,70,29.0,vw rabbit,Europe,1937,76
196,17.4,4,91.0,53,33.0,honda civic,Asia,1795,76
197,17.7,6,225.0,100,20.0,dodge aspen se,US,3651,76
198,21.0,6,250.0,78,18.0,ford granada ghia,US,3574,76
199,16.2,6,250.0,110,18.5,pontiac ventura sj,US,3645,76
200,17.8,6,258.0,95,17.5,amc pacer d/l,US,3193,76
201,12.2,4,97.0,71,29.5,volkswagen rabbit,Europe,1825,76
202,17.0,4,85.0,70,32.0,datsun b-210,Asia,1990,76
203,16.4,4,97.0,75,28.0,toyota corolla,Asia,2155,76
204,13.6,4,140.0,72,26.5,ford pinto,US,2565,76
205,15.7,4,130.0,102,20.0,volvo 245,Europe,3150,76
206,13.2,8,318.0,150,13.0,plymouth volare premier v8,US,3940,76
207,21.9,4,120.0,88,19.0,peugeot 504,Europe,3270,76
208,15.5,6,156.0,108,19.0,toyota mark ii,Asia,2930,76
209,16.7,6,168.0,120,16.5,mercedes-benz 280s,Europe,3820,76
210,12.1,8,350.0,180,16.5,cadillac seville,US,4380,76
211,12.0,8,350.0,145,13.0,chevy c10,US,4055,76
212,15.0,8,302.0,130,13.0,ford f108,US,3870,76
213,14.0,8,318.0,150,13.0,dodge d100,US,3755,76
214,18.5,4,98.0,68,31.5,honda accord cvcc,Asia,2045,77
215,14.8,4,111.0,80,30.0,buick opel isuzu deluxe,US,2155,77
216,18.6,4,79.0,58,36.0,renault 5 gtl,Europe,1825,77
217,15.5,4,122.0,96,25.5,plymouth arrow gs,US,2300,77
218,16.8,4,85.0,70,33.5,datsun f-10 hatchback,Asia,1945,77
219,12.5,8,305.0,145,17.5,chevrolet caprice classic,US,3880,77
220,19.0,8,260.0,110,17.0,oldsmobile cutlass supreme,US,4060,77
221,13.7,8,318.0,145,15.5,dodge monaco brougham,US,4140,77
222,14.9,8,302.0,130,15.0,mercury cougar brougham,US,4295,77
223,16.4,6,250.0,110,17.5,chevrolet concours,US,3520,77
224,16.9,6,231.0,105,20.5,buick skylark,US,3425,77
225,17.7,6,225.0,100,19.0,plymouth volare custom,US,3630,77
226,19.0,6,250.0,98,18.5,ford granada,US,3525,77
227,11.1,8,400.0,180,16.0,pontiac grand prix lj,US,4220,77
228,11.4,8,350.0,170,15.5,chevrolet monte carlo landau,US,4165,77
229,12.2,8,400.0,190,15.5,chrysler cordoba,US,4325,77
230,14.5,8,351.0,149,16.0,ford thunderbird,US,4335,77
231,14.5,4,97.0,78,29.0,volkswagen rabbit custom,Europe,1940,77
232,16.0,4,151.0,88,24.5,pontiac sunbird coupe,US,2740,77
233,18.2,4,97.0,75,26.0,toyota corolla liftback,Asia,2265,77
234,15.8,4,140.0,89,25.5,ford mustang ii 2+2,US,2755,77
235,17.0,4,98.0,63,30.5,chevrolet chevette,US,2051,77
236,15.9,4,98.0,83,33.5,dodge colt m/m,US,2075,77
237,16.4,4,97.0,67,30.0,subaru dl,Asia,1985,77
238,14.1,4,97.0,78,30.5,volkswagen dasher,Europe,2190,77
239,14.5,6,146.0,97,22.0,datsun 810,Asia,2815,77
240,12.8,4,121.0,110,21.5,bmw 320i,Europe,2600,77
241,13.5,3,80.0,110,21.5,mazda rx-4,Asia,2720,77
242,21.5,4,90.0,48,43.1,volkswagen rabbit custom diesel,Europe,1985,78
243,14.4,4,98.0,66,36.1,ford fiesta,US,1800,78
244,19.4,4,78.0,52,32.8,mazda glc deluxe,Asia,1985,78
245,18.6,4,85.0,70,39.4,datsun b210 gx,Asia,2070,78
246,16.4,4,91.0,60,36.1,honda civic cvcc,Asia,1800,78
247,15.5,8,260.0,110,19.9,oldsmobile cutlass salon brougham,US,3365,78
248,13.2,8,318.0,140,19.4,dodge diplomat,US,3735,78
249,12.8,8,302.0,139,20.2,mercury monarch ghia,US,3570,78
250,19.2,6,231.0,105,19.2,pontiac phoenix lj,US,3535,78
251,18.2,6,200.0,95,20.5,chevrolet malibu,US,3155,78
252,15.8,6,200.0,85,20.2,ford fairmont (auto),US,2965,78
253,15.4,4,140.0,88,25.1,ford fairmont (man),US,2720,78
254,17.2,6,225.0,100,20.5,plymouth volare,US,3430,78
255,17.2,6,232.0,90,19.4,amc concord,US,3210,78
256,15.8,6,231.0,105,20.6,buick century special,US,3380,78
257,16.7,6,200.0,85,20.8,mercury zephyr,US,3070,78
258,18.7,6,225.0,110,18.6,dodge aspen,US,3620,78
259,15.1,6,258.0,120,18.1,amc concord d/l,US,3410,78
260,13.2,8,305.0,145,19.2,chevrolet monte carlo landau,US,3425,78
261,13.4,6,231.0,165,17.7,buick regal sport coupe (turbo),US,3445,78
262,11.2,8,302.0,139,18.1,ford futura,US,3205,78
263,13.7,8,318.0,140,17.5,dodge magnum xe,US,4080,78
264,16.5,4,98.0,68,30.0,chevrolet chevette,US,2155,78
265,14.2,4,134.0,95,27.5,toyota corona,Asia,2560,78
266,14.7,4,119.0,97,27.2,datsun 510,Asia,2300,78
267,14.5,4,105.0,75,30.9,dodge omni,US,2230,78
268,14.8,4,134.0,95,21.1,toyota celica gt liftback,Asia,2515,78
269,16.7,4,156.0,105,23.2,plymouth sapporo,US,2745,78
270,17.6,4,151.0,85,23.8,oldsmobile starfire sx,US,2855,78
271,14.9,4,119.0,97,23.9,datsun 200-sx,Asia,2405,78
272,15.9,5,131.0,103,20.3,audi 5000,Europe,2830,78
273,13.6,6,163.0,125,17.0,volvo 264gl,Europe,3140,78
274,15.7,4,121.0,115,21.6,saab 99gle,Europe,2795,78
275,15.8,6,163.0,133,16.2,peugeot 604sl,Europe,3410,78
276,14.9,4,89.0,71,31.5,volkswagen scirocco,Europe,1990,78
277,16.6,4,98.0,68,29.5,honda accord lx,Asia,2135,78
278,15.4,6,231.0,115,21.5,pontiac lemans v6,US,3245,79
279,18.2,6,200.0,85,19.8,mercury zephyr 6,US,2990,79
280,17.3,4,140.0,88,22.3,ford fairmont 4,US,2890,79
281,18.2,6,232.0,90,20.2,amc concord dl 6,US,3265,79
282,16.6,6,225.0,110,20.6,dodge aspen 6,US,3360,79
283,15.4,8,305.0,130,17.0,chevrolet caprice classic,US,3840,79
284,13.4,8,302.0,129,17.6,ford ltd landau,US,3725,79
285,13.2,8,351.0,138,16.5,mercury grand marquis,US,3955,79
286,15.2,8,318.0,135,18.2,dodge st. regis,US,3830,79
287,14.9,8,350.0,155,16.9,buick estate wagon (sw),US,4360,79
288,14.3,8,351.0,142,15.5,ford country squire (sw),US,4054,79
289,15.0,8,267.0,125,19.2,chevrolet malibu classic (sw),US,3605,79
290,13.0,8,360.0,150,18.5,chrysler lebaron town @ country (sw),US,3940,79
291,14.0,4,89.0,71,31.9,vw rabbit custom,Europe,1925,79
292,15.2,4,86.0,65,34.1,maxda glc deluxe,Asia,1975,79
293,14.4,4,98.0,80,35.7,dodge colt hatchback custom,US,1915,79
294,15.0,4,121.0,80,27.4,amc spirit dl,US,2670,79
295,20.1,5,183.0,77,25.4,mercedes benz 300d,Europe,3530,79
296,17.4,8,350.0,125,23.0,cadillac eldorado,US,3900,79
297,24.8,4,141.0,71,27.2,peugeot 504,Europe,3190,79
298,22.2,8,260.0,90,23.9,oldsmobile cutlass salon brougham,US,3420,79
299,13.2,4,105.0,70,34.2,plymouth horizon,US,2200,79
300,14.9,4,105.0,70,34.5,plymouth horizon tc3,US,2150,79
301,19.2,4,85.0,65,31.8,datsun 210,Asia,2020,79
302,14.7,4,91.0,69,37.3,fiat strada custom,Europe,2130,79
303,16.0,4,151.0,90,28.4,buick skylark limited,US,2670,79
304,11.3,6,173.0,115,28.8,chevrolet citation,US,2595,79
305,12.9,6,173.0,115,26.8,oldsmobile omega brougham,US,2700,79
306,13.2,4,151.0,90,33.5,pontiac phoenix,US,2556,79
307,14.7,4,98.0,76,41.5,vw rabbit,Europe,2144,80
308,18.8,4,89.0,60,38.1,toyota corolla tercel,Asia,1968,80
309,15.5,4,98.0,70,32.1,chevrolet chevette,US,2120,80
310,16.4,4,86.0,65,37.2,datsun 310,Asia,2019,80
311,16.5,4,151.0,90,28.0,chevrolet citation,US,2678,80
312,18.1,4,140.0,88,26.4,ford fairmont,US,2870,80
313,20.1,4,151.0,90,24.3,amc concord,US,3003,80
314,18.7,6,225.0,90,19.1,dodge aspen,US,3381,80
315,15.8,4,97.0,78,34.3,audi 4000,Europe,2188,80
316,15.5,4,134.0,90,29.8,toyota corona liftback,Asia,2711,80
317,17.5,4,120.0,75,31.3,mazda 626,Asia,2542,80
318,15.0,4,119.0,92,37.0,datsun 510 hatchback,Asia,2434,80
319,15.2,4,108.0,75,32.2,toyota corolla,Asia,2265,80
320,17.9,4,86.0,65,46.6,mazda glc,Asia,2110,80
321,14.4,4,156.0,105,27.9,dodge colt,US,2800,80
322,19.2,4,85.0,65,40.8,datsun 210,Asia,2110,80
323,21.7,4,90.0,48,44.3,vw rabbit c (diesel),Europe,2085,80
324,23.7,4,90.0,48,43.4,vw dasher (diesel),Europe,2335,80
325,19.9,5,121.0,67,36.4,audi 5000s (diesel),Europe,2950,80
326,21.8,4,146.0,67,30.0,mercedes-benz 240d,Europe,3250,80
327,13.8,4,91.0,67,44.6,honda civic 1500 gl,Asia,1850,80
328,18.0,4,97.0,67,33.8,subaru dl,Asia,2145,80
329,15.3,4,89.0,62,29.8,vokswagen rabbit,Europe,1845,80
330,11.4,6,168.0,132,32.7,datsun 280-zx,Asia,2910,80
331,12.5,3,70.0,100,23.7,mazda rx-7 gs,Asia,2420,80
332,15.1,4,122.0,88,35.0,triumph tr7 coupe,Europe,2500,80
333,17.0,4,107.0,72,32.4,honda accord,Asia,2290,80
334,15.7,4,135.0,84,27.2,plymouth reliant,US,2490,81
335,16.4,4,151.0,84,26.6,buick skylark,US,2635,81
336,14.4,4,156.0,92,25.8,dodge aries wagon (sw),US,2620,81
337,12.6,6,173.0,110,23.5,chevrolet citation,US,2725,81
338,12.9,4,135.0,84,30.0,plymouth reliant,US,2385,81
339,16.9,4,79.0,58,39.1,toyota starlet,Asia,1755,81
340,16.4,4,86.0,64,39.0,plymouth champ,US,1875,81
341,16.1,4,81.0,60,35.1,honda civic 1300,Asia,1760,81
342,17.8,4,97.0,67,32.3,subaru,Asia,2065,81
343,19.4,4,85.0,65,37.0,datsun 210 mpg,Asia,1975,81
344,17.3,4,89.0,62,37.7,toyota tercel,Asia,2050,81
345,16.0,4,91.0,68,34.1,mazda glc 4,Asia,1985,81
346,14.9,4,105.0,63,34.7,plymouth horizon 4,US,2215,81
347,16.2,4,98.0,65,34.4,ford escort 4w,US,2045,81
348,20.7,4,98.0,65,29.9,ford escort 2h,US,2380,81
349,14.2,4,105.0,74,33.0,volkswagen jetta,Europe,2190,81
350,14.4,4,107.0,75,33.7,honda prelude,Asia,2210,81
351,16.8,4,108.0,75,32.4,toyota corolla,Asia,2350,81
352,14.8,4,119.0,100,32.9,datsun 200sx,Asia,2615,81
353,18.3,4,120.0,74,31.6,mazda 626,Asia,2635,81
354,20.4,4,141.0,80,28.1,peugeot 505s turbo diesel,Europe,3230,81
355,19.6,6,145.0,76,30.7,volvo diesel,Europe,3160,81
356,12.6,6,168.0,116,25.4,toyota cressida,Asia,2900,81
357,13.8,6,146.0,120,24.2,datsun 810 maxima,Asia,2930,81
358,15.8,6,231.0,110,22.4,buick century,US,3415,81
359,19.0,8,350.0,105,26.6,oldsmobile cutlass ls,US,3725,81
360,17.1,6,200.0,88,20.2,ford granada gl,US,3060,81
361,16.6,6,225.0,85,17.6,chrysler lebaron salon,US,3465,81
362,19.6,4,112.0,88,28.0,chevrolet cavalier,US,2605,82
363,18.6,4,112.0,88,27.0,chevrolet cavalier wagon,US,2640,82
364,18.0,4,112.0,88,34.0,chevrolet cavalier 2-door,US,2395,82
365,16.2,4,112.0,85,31.0,pontiac j2000 se hatchback,US,2575,82
366,16.0,4,135.0,84,29.0,dodge aries se,US,2525,82
367,18.0,4,151.0,90,27.0,pontiac phoenix,US,2735,82
368,16.4,4,140.0,92,24.0,ford fairmont futura,US,2865,82
369,15.3,4,105.0,74,36.0,volkswagen rabbit l,Europe,1980,82
370,18.2,4,91.0,68,37.0,mazda glc custom l,Asia,2025,82
371,17.6,4,91.0,68,31.0,mazda glc custom,Asia,1970,82
372,14.7,4,105.0,63,38.0,plymouth horizon miser,US,2125,82
373,17.3,4,98.0,70,36.0,mercury lynx l,US,2125,82
374,14.5,4,120.0,88,36.0,nissan stanza xe,Asia,2160,82
375,14.5,4,107.0,75,36.0,honda accord,Asia,2205,82
376,16.9,4,108.0,70,34.0,toyota corolla,Asia,2245,82
377,15.0,4,91.0,67,38.0,honda civic,Asia,1965,82
378,15.7,4,91.0,67,32.0,honda civic (auto),Asia,1965,82
379,16.2,4,91.0,67,38.0,datsun 310 gx,Asia,1995,82
380,16.4,6,181.0,110,25.0,buick century limited,US,2945,82
381,17.0,6,262.0,85,38.0,oldsmobile cutlass ciera (diesel),US,3015,82
382,14.5,4,156.0,92,26.0,chrysler lebaron medallion,US,2585,82
383,14.7,6,232.0,112,22.0,ford granada l,US,2835,82
384,13.9,4,144.0,96,32.0,toyota celica gt,Asia,2665,82
385,13.0,4,135.0,84,36.0,dodge charger 2.2,US,2370,82
386,17.3,4,151.0,90,27.0,chevrolet camaro,US,2950,82
387,15.6,4,140.0,86,27.0,ford mustang gl,US,2790,82
388,24.6,4,97.0,52,44.0,vw pickup,Europe,2130,82
389,11.6,4,135.0,84,32.0,dodge rampage,US,2295,82
390,18.6,4,120.0,79,28.0,ford ranger,US,2625,82
391,19.4,4,119.0,82,31.0,chevy s-10,US,2720,82
